"dataset_name","total_records","description"
"INTERACTION_FULL_ENRICHED (VIEW)","4740","Volume analysis - All interactions + hotels + temporal features + hotel_size"
"INTERACTION_MATCH_ENRICHED (VIEW)","3292","Performance analysis - Complete data + hotels + handling + all features + response_speed"
"interactions_full (VIEW)","4740","OLD - interactions + hotels (without features)"
"interactions_match (VIEW)","3292","OLD - interactions + hotels + handling (without features)"
"--- TABLES (BASE) ---","","---"
"interactions (TABLE)","4740","Base table - cleaned interactions"
"handling1 (TABLE)","3292","Base table - cleaned handling records"
"hotels (TABLE)","12","Base table - hotel information"
